epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7932,1.68528,3.30867,1.05908,0.38558,0.09199,0.04126,0.02432,1.57983,4.0973,1.00744,0.000326797,0.000326797,0.000326797
2,40.3634,1.57153,1.96826,1.02726,0.05901,0.33963,0.12151,0.06799,1.67046,3.04581,1.08225,0.000659123,0.000659123,0.000659123
3,59.3483,1.47854,1.6631,0.99861,0.29709,0.20803,0.17129,0.09133,1.66596,1.85169,1.10776,0.00098741,0.00098741,0.00098741
4,78.2746,1.43532,1.46675,0.98901,0.55066,0.17078,0.16128,0.08787,1.67195,1.74632,1.09935,0.000986323,0.000986323,0.000986323
5,97.3494,1.35173,1.2817,0.96328,0.36587,0.22889,0.20773,0.11301,1.57677,1.47969,1.06632,0.000975773,0.000975773,0.000975773
6,116.365,1.30419,1.14348,0.9425,0.48826,0.23431,0.22766,0.12382,1.54153,1.33719,1.0487,0.00096232,0.00096232,0.00096232
7,135.198,1.21912,1.03942,0.91841,0.39725,0.24361,0.22737,0.12328,1.56282,1.38055,1.06382,0.000946048,0.000946048,0.000946048
8,154.07,1.18395,0.96526,0.90018,0.47936,0.25115,0.24902,0.13257,1.55891,1.33142,1.06421,0.000927057,0.000927057,0.000927057
9,172.944,1.11126,0.88436,0.88858,0.3612,0.22389,0.22319,0.1195,1.55929,1.34564,1.07364,0.000905463,0.000905463,0.000905463
10,191.866,1.08072,0.83081,0.87433,0.36492,0.24798,0.24168,0.13121,1.55089,1.22092,1.06655,0.000881401,0.000881401,0.000881401
11,210.633,1.01971,0.77378,0.8614,0.40039,0.25814,0.24218,0.12997,1.53224,1.25989,1.0641,0.000855018,0.000855018,0.000855018
12,229.512,0.99375,0.73285,0.85218,0.35795,0.23128,0.23476,0.12193,1.56025,1.26119,1.06861,0.000826477,0.000826477,0.000826477
13,248.73,0.93864,0.69284,0.84253,0.40011,0.26084,0.24315,0.12795,1.53766,1.25241,1.07257,0.000795954,0.000795954,0.000795954
14,267.755,0.89117,0.651,0.83418,0.37186,0.27207,0.25316,0.13275,1.54452,1.20313,1.07132,0.000763637,0.000763637,0.000763637
15,286.836,0.85971,0.6216,0.82781,0.30217,0.24757,0.22931,0.12283,1.5529,1.32455,1.06836,0.000729725,0.000729725,0.000729725
16,305.866,0.83082,0.60226,0.82208,0.38089,0.23427,0.23982,0.12542,1.54183,1.2853,1.06183,0.000694428,0.000694428,0.000694428
17,325.045,0.78921,0.56818,0.81441,0.32962,0.26491,0.22562,0.12204,1.53834,1.2997,1.0662,0.000657963,0.000657963,0.000657963
18,344.079,0.75144,0.53645,0.80883,0.36103,0.25318,0.24126,0.13039,1.51433,1.27254,1.05995,0.000620555,0.000620555,0.000620555
19,363.27,0.71512,0.51284,0.80323,0.50699,0.20376,0.22766,0.12222,1.5144,1.31273,1.06211,0.000582435,0.000582435,0.000582435
20,382.288,0.68722,0.48978,0.79911,0.37915,0.24384,0.23102,0.12749,1.52357,1.25877,1.0762,0.000543837,0.000543837,0.000543837
21,401.241,0.66156,0.46689,0.79621,0.37685,0.25026,0.24227,0.12266,1.50379,1.25296,1.07273,0.000505,0.000505,0.000505
22,420.093,0.62556,0.44314,0.79179,0.38388,0.22693,0.23177,0.1259,1.50892,1.27591,1.07487,0.000466163,0.000466163,0.000466163
23,439.332,0.58405,0.42243,0.78748,0.43657,0.22111,0.23701,0.12891,1.48951,1.26133,1.07647,0.000427565,0.000427565,0.000427565
24,458.395,0.57411,0.41232,0.78454,0.34712,0.25581,0.24277,0.13119,1.50708,1.26596,1.07574,0.000389445,0.000389445,0.000389445
25,477.247,0.54083,0.3937,0.7826,0.38373,0.26805,0.24154,0.12881,1.50919,1.30983,1.08186,0.000352037,0.000352037,0.000352037
26,496.305,0.51484,0.37444,0.77913,0.35556,0.25863,0.23369,0.12602,1.49309,1.28507,1.07082,0.000315572,0.000315572,0.000315572
27,515.25,0.48484,0.35691,0.77751,0.35119,0.24377,0.22766,0.12208,1.49892,1.30733,1.08209,0.000280275,0.000280275,0.000280275
28,534.221,0.46709,0.34574,0.77505,0.38203,0.24535,0.23651,0.12811,1.48953,1.28711,1.07765,0.000246363,0.000246363,0.000246363
29,553.618,0.43878,0.33153,0.77367,0.34434,0.25884,0.23679,0.12646,1.50092,1.32649,1.07993,0.000214046,0.000214046,0.000214046
30,572.618,0.42611,0.32079,0.7726,0.37155,0.2604,0.24036,0.13058,1.4839,1.30532,1.07709,0.000183523,0.000183523,0.000183523
31,591.47,0.41427,0.31373,0.77123,0.4106,0.26371,0.24151,0.13281,1.48723,1.30184,1.07901,0.000154982,0.000154982,0.000154982
32,610.965,0.39011,0.29918,0.7701,0.37618,0.25735,0.23545,0.1267,1.4926,1.35402,1.08097,0.000128599,0.000128599,0.000128599
33,629.982,0.37029,0.28836,0.76919,0.40281,0.25471,0.2337,0.12631,1.49547,1.34485,1.08016,0.000104537,0.000104537,0.000104537
34,648.917,0.36039,0.28386,0.76812,0.39925,0.24673,0.23328,0.12628,1.49271,1.34083,1.0794,8.29431e-05,8.29431e-05,8.29431e-05
35,667.767,0.3443,0.27519,0.76789,0.41734,0.25168,0.23541,0.12795,1.48976,1.33794,1.08104,6.39518e-05,6.39518e-05,6.39518e-05
36,686.724,0.33921,0.27001,0.76809,0.39524,0.25468,0.23328,0.12756,1.49172,1.34752,1.08249,4.76796e-05,4.76796e-05,4.76796e-05
37,705.68,0.33012,0.26646,0.76706,0.40702,0.24449,0.23314,0.1274,1.49151,1.35967,1.08049,3.4227e-05,3.4227e-05,3.4227e-05
38,724.691,0.32695,0.26646,0.76752,0.39561,0.24932,0.23128,0.12674,1.49226,1.37014,1.08036,2.36769e-05,2.36769e-05,2.36769e-05
39,743.592,0.32308,0.26298,0.76759,0.37551,0.2546,0.23086,0.12701,1.48771,1.35771,1.07948,1.60943e-05,1.60943e-05,1.60943e-05
40,762.592,0.31792,0.26085,0.7665,0.35626,0.25386,0.22996,0.12676,1.48703,1.36205,1.07959,1.15259e-05,1.15259e-05,1.15259e-05
