epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5139,1.71379,3.09481,1.05799,0.29184,0.06395,0.02175,0.01404,1.62385,4.23065,1.03473,0.000326797,0.000326797,0.000326797
2,42.2604,1.69728,1.84457,1.04633,0.48201,0.14157,0.14615,0.07829,1.67079,2.87471,1.09421,0.000659879,0.000659879,0.000659879
3,61.4411,1.67817,1.6588,1.05072,0.31415,0.21045,0.15079,0.07925,1.68967,1.9242,1.12401,0.000991948,0.000991948,0.000991948
4,80.8276,1.65979,1.55538,1.05188,0.2176,0.18268,0.11802,0.06309,1.71712,3.42004,1.10546,0.000996569,0.000996569,0.000996569
5,100.045,1.6238,1.42253,1.03976,0.29297,0.21855,0.17446,0.09124,1.61875,1.53602,1.09495,0.000993906,0.000993906,0.000993906
6,119.449,1.63214,1.37434,1.03726,0.52092,0.18915,0.18874,0.09971,1.60493,1.43119,1.0877,0.000990489,0.000990489,0.000990489
7,138.61,1.58281,1.29066,1.02609,0.36138,0.21456,0.20606,0.10948,1.58413,1.35345,1.05401,0.000986323,0.000986323,0.000986323
8,158.219,1.57253,1.26392,1.02354,0.4389,0.25424,0.23125,0.11867,1.57568,1.31678,1.07353,0.000981415,0.000981415,0.000981415
9,177.871,1.57137,1.22989,1.02589,0.4268,0.2393,0.23834,0.12604,1.61609,1.30778,1.08284,0.000975773,0.000975773,0.000975773
10,197.444,1.54085,1.20677,1.01652,0.4481,0.25398,0.24274,0.12862,1.57256,1.29145,1.0538,0.000969405,0.000969405,0.000969405
11,216.782,1.55716,1.19802,1.0181,0.44763,0.23913,0.2495,0.13194,1.5355,1.23337,1.04916,0.00096232,0.00096232,0.00096232
12,236.349,1.54721,1.18071,1.01061,0.50482,0.23288,0.24793,0.129,1.52946,1.20747,1.04489,0.000954531,0.000954531,0.000954531
13,255.653,1.50192,1.13463,0.99508,0.40021,0.23187,0.22695,0.11908,1.52932,1.29563,1.05654,0.000946048,0.000946048,0.000946048
14,275.825,1.49806,1.11461,0.99568,0.40955,0.29635,0.26372,0.14174,1.52142,1.17478,1.03573,0.000936886,0.000936886,0.000936886
