epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1622,1.75327,3.17093,1.06198,0.24898,0.08804,0.0424,0.02872,1.56535,3.92718,1.0293,0.000326667,0.000326667,0.000326667
2,41.3086,1.7079,1.90804,1.0504,0.63287,0.09556,0.13689,0.0756,1.66441,2.5499,1.07428,0.000659748,0.000659748,0.000659748
3,60.7123,1.68011,1.69297,1.05696,0.26217,0.19067,0.15788,0.08312,1.67819,1.7237,1.10734,0.000991818,0.000991818,0.000991818
4,80.2271,1.66215,1.56626,1.04785,0.32515,0.19569,0.17962,0.09428,1.61726,1.60809,1.08522,0.000996569,0.000996569,0.000996569
5,99.4071,1.62898,1.45563,1.04068,0.4384,0.18343,0.19505,0.10166,1.65066,1.49642,1.09131,0.000993906,0.000993906,0.000993906
6,118.572,1.63067,1.3767,1.02922,0.31702,0.22788,0.20783,0.11473,1.54573,1.294,1.06918,0.000990489,0.000990489,0.000990489
7,137.671,1.59281,1.33403,1.02864,0.33823,0.21819,0.20498,0.11216,1.5846,1.38625,1.0696,0.000986323,0.000986323,0.000986323
8,156.714,1.59545,1.2902,1.02388,0.35691,0.20126,0.19847,0.1065,1.5294,1.29011,1.04977,0.000981415,0.000981415,0.000981415
9,176.299,1.59583,1.26282,1.02748,0.3628,0.23291,0.21178,0.11517,1.5797,1.33088,1.05974,0.000975773,0.000975773,0.000975773
10,195.487,1.53965,1.2125,1.00576,0.38505,0.23179,0.22698,0.11614,1.54849,1.23766,1.05403,0.000969405,0.000969405,0.000969405
11,214.652,1.55634,1.1895,1.01149,0.42256,0.22366,0.22907,0.12125,1.52774,1.2041,1.04904,0.00096232,0.00096232,0.00096232
12,233.673,1.55078,1.18691,1.00777,0.39984,0.23985,0.24977,0.13833,1.50125,1.21635,1.0321,0.000954531,0.000954531,0.000954531
13,252.998,1.53048,1.15465,0.99993,0.4308,0.26313,0.258,0.13814,1.51027,1.17022,1.04278,0.000946048,0.000946048,0.000946048
14,272.228,1.5297,1.13281,1.00374,0.39389,0.25281,0.23355,0.12788,1.50823,1.17792,1.05469,0.000936886,0.000936886,0.000936886
15,291.828,1.52462,1.11965,1.00108,0.34629,0.2671,0.23529,0.12855,1.46491,1.17058,1.02955,0.000927057,0.000927057,0.000927057
16,311.168,1.48507,1.09613,0.99621,0.5396,0.22931,0.24918,0.13906,1.47841,1.15779,1.0366,0.000916577,0.000916577,0.000916577
17,330.297,1.49251,1.08305,0.98672,0.43958,0.25159,0.24219,0.13758,1.4707,1.14777,1.02342,0.000905463,0.000905463,0.000905463
18,349.679,1.48754,1.06913,0.98472,0.32001,0.26386,0.2374,0.13747,1.46803,1.1205,1.03181,0.000893732,0.000893732,0.000893732
19,369.238,1.4537,1.02953,0.9706,0.39896,0.29296,0.27258,0.15398,1.44672,1.06767,1.02292,0.000881401,0.000881401,0.000881401
20,388.794,1.47112,1.04009,0.98444,0.42437,0.26958,0.26186,0.14155,1.47695,1.1279,1.03655,0.00086849,0.00086849,0.00086849
21,408.161,1.4435,1.01544,0.97122,0.41223,0.2706,0.26517,0.14904,1.44541,1.08427,1.02193,0.000855018,0.000855018,0.000855018
22,427.997,1.42613,1.01036,0.97169,0.44465,0.26012,0.24558,0.13616,1.45466,1.14163,1.02972,0.000841006,0.000841006,0.000841006
23,447.174,1.43069,0.99756,0.96966,0.38045,0.2838,0.2607,0.14649,1.44405,1.09046,1.02539,0.000826477,0.000826477,0.000826477
24,468.834,1.42283,0.99838,0.96657,0.44164,0.26985,0.26746,0.14761,1.43568,1.09146,1.03098,0.000811452,0.000811452,0.000811452
25,488.286,1.42586,0.99107,0.96858,0.3768,0.28982,0.2666,0.14149,1.45806,1.05853,1.02466,0.000795954,0.000795954,0.000795954
26,507.643,1.418,0.97436,0.9723,0.46398,0.26194,0.27025,0.15539,1.39057,1.04986,1.02198,0.000780007,0.000780007,0.000780007
27,527.353,1.39508,0.96309,0.96378,0.46752,0.28755,0.29984,0.16798,1.40474,1.01539,1.01436,0.000763637,0.000763637,0.000763637
28,546.482,1.3903,0.94581,0.96013,0.51073,0.29423,0.29724,0.16911,1.40835,1.01416,1.01698,0.000746868,0.000746868,0.000746868
29,567.089,1.39395,0.94415,0.96233,0.49688,0.292,0.28994,0.16364,1.40962,1.01457,1.02079,0.000729725,0.000729725,0.000729725
30,586.252,1.38307,0.93903,0.95846,0.45986,0.28104,0.27754,0.1622,1.41444,1.04279,1.02071,0.000712237,0.000712237,0.000712237
31,606.118,1.37334,0.92455,0.94898,0.4972,0.2826,0.28893,0.16644,1.40179,1.01481,1.01728,0.000694428,0.000694428,0.000694428
32,625.555,1.38645,0.94324,0.95787,0.47238,0.27453,0.27631,0.1566,1.40461,1.02311,1.01245,0.000676328,0.000676328,0.000676328
33,644.982,1.35612,0.9098,0.95068,0.52954,0.28177,0.28514,0.16247,1.4043,1.02055,1.02172,0.000657963,0.000657963,0.000657963
34,665.365,1.36966,0.92604,0.95257,0.41206,0.31132,0.29114,0.16248,1.4379,1.02793,1.03615,0.000639363,0.000639363,0.000639363
35,685.149,1.35414,0.90365,0.94797,0.48011,0.28256,0.28961,0.16626,1.4076,0.99621,1.01708,0.000620555,0.000620555,0.000620555
36,704.55,1.33727,0.88747,0.94785,0.42829,0.29541,0.2944,0.16788,1.38313,0.99451,1.00605,0.00060157,0.00060157,0.00060157
37,723.688,1.33459,0.88674,0.94119,0.41188,0.31098,0.30329,0.17334,1.38416,0.99911,1.00779,0.000582435,0.000582435,0.000582435
38,742.987,1.33184,0.88112,0.94086,0.49375,0.29946,0.30919,0.17402,1.39166,0.98696,1.02228,0.000563181,0.000563181,0.000563181
39,763.241,1.32494,0.86963,0.93532,0.48544,0.28514,0.29222,0.16714,1.39362,0.97463,1.01918,0.000543837,0.000543837,0.000543837
40,782.345,1.31664,0.866,0.93511,0.45633,0.2944,0.3159,0.17884,1.39571,0.99241,1.01719,0.000524434,0.000524434,0.000524434
41,802.717,1.32136,0.86279,0.93923,0.44866,0.29745,0.28486,0.16651,1.39075,1.03066,1.00532,0.000505,0.000505,0.000505
42,822.902,1.31724,0.85992,0.93337,0.50723,0.29482,0.31537,0.17863,1.38856,0.97368,1.01217,0.000485566,0.000485566,0.000485566
43,842.281,1.30647,0.85674,0.92864,0.52873,0.27302,0.30143,0.17482,1.37277,0.96941,1.0053,0.000466163,0.000466163,0.000466163
44,861.409,1.30776,0.8522,0.93006,0.43666,0.30854,0.30267,0.18053,1.37914,0.95879,1.00977,0.000446819,0.000446819,0.000446819
45,880.746,1.28667,0.82668,0.92735,0.461,0.29125,0.30004,0.17819,1.36701,0.957,1.00049,0.000427565,0.000427565,0.000427565
46,900.339,1.29835,0.82756,0.92176,0.43099,0.31234,0.31346,0.18497,1.37365,0.9395,1.01575,0.00040843,0.00040843,0.00040843
47,920.942,1.25756,0.80338,0.91628,0.54807,0.30636,0.32359,0.1899,1.35557,0.93466,1.00756,0.000389445,0.000389445,0.000389445
48,940.808,1.2759,0.8133,0.91724,0.46417,0.31,0.31141,0.18152,1.35188,0.92992,1.00315,0.000370637,0.000370637,0.000370637
49,961.063,1.25857,0.80716,0.91501,0.46091,0.31187,0.30916,0.18095,1.36308,0.92748,0.99792,0.000352037,0.000352037,0.000352037
50,982.191,1.26742,0.80873,0.91441,0.45751,0.31358,0.30916,0.18162,1.36443,0.93658,1.00442,0.000333672,0.000333672,0.000333672
51,1002.64,1.28027,0.81303,0.91457,0.52447,0.28427,0.30817,0.18594,1.35642,0.95443,0.99825,0.000315572,0.000315572,0.000315572
52,1021.86,1.24599,0.79165,0.90828,0.52097,0.30492,0.31084,0.18453,1.36295,0.92886,1.00343,0.000297763,0.000297763,0.000297763
53,1041.58,1.24125,0.79125,0.90663,0.5388,0.30501,0.32561,0.18989,1.35895,0.93753,1.00954,0.000280275,0.000280275,0.000280275
54,1061.82,1.24554,0.79068,0.91297,0.51873,0.28936,0.31229,0.1851,1.35268,0.92506,1.00738,0.000263132,0.000263132,0.000263132
55,1081.66,1.22282,0.78202,0.9078,0.51791,0.29436,0.30149,0.17943,1.34126,0.94272,1.01,0.000246363,0.000246363,0.000246363
56,1101.52,1.23795,0.77694,0.90929,0.47997,0.32021,0.30529,0.18527,1.347,0.94664,1.00144,0.000229993,0.000229993,0.000229993
57,1120.86,1.2139,0.76107,0.90535,0.46735,0.31975,0.31117,0.1875,1.33453,0.91966,1.00132,0.000214046,0.000214046,0.000214046
58,1140.27,1.23921,0.77921,0.9031,0.45211,0.30503,0.31255,0.18708,1.3418,0.91803,1.0017,0.000198548,0.000198548,0.000198548
59,1159.65,1.23008,0.76219,0.90247,0.45302,0.31468,0.32038,0.19064,1.3406,0.91337,1.00228,0.000183523,0.000183523,0.000183523
60,1179.12,1.22026,0.75961,0.90159,0.47272,0.29197,0.30541,0.18559,1.34508,0.92676,0.99893,0.000168994,0.000168994,0.000168994
61,1198.54,1.20849,0.75112,0.90222,0.41378,0.33889,0.32097,0.19269,1.33788,0.9178,1.00117,0.000154982,0.000154982,0.000154982
62,1218.81,1.20569,0.75348,0.90252,0.43288,0.32128,0.31845,0.19174,1.33426,0.91408,0.99776,0.00014151,0.00014151,0.00014151
63,1238.29,1.19854,0.74179,0.89717,0.50284,0.29959,0.31554,0.19286,1.3272,0.89621,0.99436,0.000128599,0.000128599,0.000128599
64,1257.9,1.19125,0.73766,0.89719,0.55022,0.29168,0.3158,0.19275,1.33119,0.91031,1.00111,0.000116268,0.000116268,0.000116268
65,1277.38,1.18718,0.73146,0.89806,0.47191,0.32245,0.31464,0.19277,1.33566,0.90707,0.99986,0.000104537,0.000104537,0.000104537
66,1297.49,1.20647,0.7408,0.89748,0.52246,0.29845,0.32266,0.19453,1.32796,0.90075,0.99534,9.34225e-05,9.34225e-05,9.34225e-05
67,1316.99,1.1745,0.72238,0.89044,0.40528,0.33147,0.3124,0.19213,1.32922,0.91727,0.99542,8.29431e-05,8.29431e-05,8.29431e-05
68,1336.22,1.20608,0.74094,0.89488,0.51061,0.2889,0.31119,0.19023,1.32991,0.91393,1.00055,7.31145e-05,7.31145e-05,7.31145e-05
69,1355.64,1.18169,0.72823,0.89616,0.53159,0.2917,0.31666,0.19232,1.33259,0.90319,0.9982,6.39518e-05,6.39518e-05,6.39518e-05
70,1375.62,1.17189,0.72482,0.89764,0.52834,0.29529,0.32132,0.19398,1.32723,0.902,0.99846,5.54691e-05,5.54691e-05,5.54691e-05
71,1397.62,1.17991,0.73784,0.90342,0.49449,0.30036,0.31249,0.1891,1.34324,0.91982,1.00545,4.76796e-05,4.76796e-05,4.76796e-05
72,1416.68,1.16524,0.70696,0.89833,0.56517,0.28744,0.3158,0.18972,1.34181,0.91517,1.00327,4.05953e-05,4.05953e-05,4.05953e-05
73,1435.8,1.16044,0.69948,0.89379,0.48977,0.30025,0.31446,0.18896,1.33806,0.91226,1.00386,3.4227e-05,3.4227e-05,3.4227e-05
