epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,126.894,1.45022,1.59537,1.03825,0.39697,0.28748,0.28061,0.15662,1.41815,1.08813,1.00909,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268
2,250.931,1.42871,1.03735,1.01573,0.46061,0.29997,0.30436,0.17374,1.37177,0.99743,1.00537,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348
3,373.933,1.46564,1.03202,1.02778,0.38786,0.24997,0.21764,0.11553,1.44734,1.69259,1.05488,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411
4,496.044,1.47601,1.01855,1.03853,0.47325,0.30144,0.28592,0.14875,1.44524,0.99902,1.03344,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,617.967,1.43315,0.96092,1.02688,0.36976,0.29274,0.2587,0.14047,1.42384,0.98356,1.03472,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,740.108,1.41094,0.92601,1.02032,0.44188,0.32153,0.31769,0.17458,1.35348,0.88439,1.00429,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,862.404,1.38728,0.90184,1.00901,0.46559,0.31887,0.32405,0.18167,1.34161,0.87325,1.00249,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,984.619,1.36955,0.8875,1.00297,0.49632,0.33742,0.34772,0.19902,1.32305,0.84669,0.99265,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,1106.67,1.35871,0.87025,0.99679,0.4584,0.3412,0.34205,0.1946,1.31872,0.85877,0.98797,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,1228.92,1.3424,0.85508,0.99193,0.4842,0.35572,0.35445,0.20615,1.30056,0.82469,0.98313,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
11,1350.94,1.33626,0.84794,0.99037,0.52193,0.36038,0.37673,0.21362,1.30607,0.81585,0.97934,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
12,1473.09,1.33092,0.84157,0.98724,0.49968,0.36435,0.37474,0.21308,1.28775,0.80974,0.97451,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
13,1595.3,1.32624,0.8312,0.98178,0.5374,0.36283,0.38606,0.21835,1.29232,0.79435,0.9759,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
14,1717.36,1.31561,0.8201,0.98217,0.50354,0.38617,0.39953,0.22937,1.27313,0.7842,0.97038,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
15,1839.48,1.30058,0.81247,0.97517,0.56969,0.36563,0.38923,0.22511,1.27065,0.79315,0.97414,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
16,1961.38,1.29888,0.80606,0.97402,0.54782,0.37883,0.40122,0.2293,1.26917,0.78679,0.96845,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
17,2083.31,1.29395,0.79904,0.97298,0.52728,0.39099,0.40224,0.22981,1.26748,0.76819,0.96632,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
18,2205.28,1.28626,0.79237,0.97123,0.5618,0.38509,0.41098,0.23806,1.25944,0.7638,0.966,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
19,2327.26,1.28407,0.79109,0.96857,0.53866,0.39537,0.41447,0.23781,1.2594,0.76701,0.9604,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
20,2449.42,1.28232,0.78771,0.96763,0.55603,0.39279,0.416,0.23936,1.25773,0.76409,0.96389,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849
21,2571.39,1.28138,0.78407,0.96826,0.60808,0.38468,0.41775,0.24254,1.25539,0.75684,0.96047,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
22,2693.48,1.27838,0.78087,0.9642,0.54107,0.38149,0.41196,0.24072,1.25082,0.75333,0.95795,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006
