epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.189,1.4322,1.6873,1.01484,0.39331,0.29182,0.269,0.1487,1.42389,1.12312,1.00585,0.000332268,0.000332268,0.000332268
2,229.26,1.36167,1.03059,0.99761,0.48856,0.31756,0.29661,0.16613,1.40658,1.00387,1.00012,0.000664586,0.000664586,0.000664586
3,342.961,1.32791,0.92552,0.98532,0.44414,0.31599,0.29652,0.16165,1.40835,0.97362,1.01539,0.000992847,0.000992847,0.000992847
4,456.789,1.31513,0.88862,0.98211,0.49654,0.30152,0.29897,0.1625,1.43644,0.98356,1.02351,0.000986323,0.000986323,0.000986323
5,570.504,1.27767,0.83449,0.96731,0.49222,0.33873,0.34229,0.18608,1.39445,0.90236,1.00603,0.000975773,0.000975773,0.000975773
6,684.386,1.24826,0.7987,0.95739,0.48423,0.32661,0.33383,0.18227,1.38811,0.9016,1.01238,0.00096232,0.00096232,0.00096232
7,798.175,1.22363,0.77099,0.94736,0.49256,0.33791,0.33344,0.18246,1.3897,0.90011,0.9926,0.000946048,0.000946048,0.000946048
8,911.974,1.19943,0.74111,0.93916,0.47359,0.3538,0.34968,0.192,1.39515,0.87471,1.00238,0.000927057,0.000927057,0.000927057
9,1025.76,1.17867,0.71838,0.93147,0.50598,0.35797,0.35537,0.19489,1.36621,0.86458,0.99625,0.000905463,0.000905463,0.000905463
10,1139.56,1.15865,0.69697,0.92369,0.55094,0.33245,0.34905,0.19252,1.3558,0.85225,0.99484,0.000881401,0.000881401,0.000881401
11,1253.24,1.13844,0.67758,0.91743,0.50973,0.37464,0.3763,0.2068,1.36631,0.84596,1.00082,0.000855018,0.000855018,0.000855018
12,1367.02,1.12094,0.66018,0.91124,0.46998,0.36612,0.35466,0.19443,1.3709,0.85967,0.99425,0.000826477,0.000826477,0.000826477
13,1480.83,1.09907,0.63776,0.90457,0.52172,0.35051,0.35923,0.19656,1.37211,0.84977,0.99845,0.000795954,0.000795954,0.000795954
14,1594.49,1.07765,0.61895,0.89747,0.5081,0.35637,0.3604,0.1955,1.36913,0.8506,1.00052,0.000763637,0.000763637,0.000763637
15,1708.15,1.05894,0.60394,0.89234,0.49382,0.36464,0.363,0.195,1.36462,0.83962,0.99666,0.000729725,0.000729725,0.000729725
16,1821.7,1.03848,0.58854,0.88628,0.53461,0.33605,0.35368,0.19234,1.36135,0.84831,0.99566,0.000694428,0.000694428,0.000694428
17,1935.32,1.01878,0.57256,0.8807,0.51748,0.35048,0.35853,0.19423,1.37029,0.84337,1.00445,0.000657963,0.000657963,0.000657963
18,2048.94,0.99799,0.5578,0.87501,0.51397,0.35373,0.35213,0.19053,1.35884,0.83767,1.00199,0.000620555,0.000620555,0.000620555
19,2162.48,0.97573,0.54438,0.87003,0.53674,0.33574,0.3533,0.1898,1.37324,0.83884,1.0066,0.000582435,0.000582435,0.000582435
20,2275.99,0.95603,0.52986,0.86463,0.50541,0.33928,0.35152,0.18929,1.38957,0.85539,1.01162,0.000543837,0.000543837,0.000543837
21,2389.52,0.93286,0.51619,0.85927,0.49458,0.35066,0.34869,0.18643,1.38131,0.8532,1.01304,0.000505,0.000505,0.000505
22,2503.04,0.90929,0.50401,0.85391,0.56763,0.32515,0.34909,0.18762,1.38491,0.85617,1.01325,0.000466163,0.000466163,0.000466163
23,2616.56,0.88596,0.49207,0.84919,0.55599,0.32484,0.33941,0.17998,1.38814,0.86578,1.02178,0.000427565,0.000427565,0.000427565
24,2730.08,0.86215,0.47974,0.84428,0.53189,0.32935,0.33806,0.18037,1.39204,0.86793,1.02217,0.000389445,0.000389445,0.000389445
25,2843.54,0.83923,0.468,0.83965,0.52387,0.32793,0.33306,0.1774,1.39619,0.87157,1.02386,0.000352037,0.000352037,0.000352037
26,2957.01,0.81476,0.45739,0.83545,0.52841,0.33305,0.33345,0.17509,1.40249,0.88322,1.03173,0.000315572,0.000315572,0.000315572
27,3070.45,0.79077,0.44672,0.83108,0.51234,0.33314,0.33404,0.17709,1.40455,0.88762,1.03453,0.000280275,0.000280275,0.000280275
28,3184.03,0.76697,0.43532,0.82687,0.51191,0.33678,0.33374,0.17538,1.40655,0.88662,1.03516,0.000246363,0.000246363,0.000246363
29,3297.49,0.74484,0.42591,0.82335,0.54454,0.31843,0.32671,0.17241,1.41046,0.89247,1.04085,0.000214046,0.000214046,0.000214046
30,3410.95,0.72191,0.41652,0.81996,0.53143,0.32286,0.32479,0.17186,1.41398,0.89799,1.04442,0.000183523,0.000183523,0.000183523
31,3524.42,0.70088,0.40781,0.81702,0.52357,0.3212,0.32176,0.16887,1.42204,0.90873,1.047,0.000154982,0.000154982,0.000154982
32,3637.9,0.681,0.39962,0.81421,0.51538,0.3184,0.31956,0.16814,1.42161,0.91229,1.05143,0.000128599,0.000128599,0.000128599
33,3751.32,0.66277,0.39269,0.81188,0.51119,0.32395,0.31786,0.16723,1.426,0.9159,1.05431,0.000104537,0.000104537,0.000104537
34,3864.77,0.64627,0.38607,0.80977,0.53807,0.30631,0.31343,0.16408,1.42844,0.9257,1.0553,8.29431e-05,8.29431e-05,8.29431e-05
35,3978.21,0.63171,0.38088,0.80814,0.50624,0.3133,0.3122,0.16371,1.42973,0.92497,1.05906,6.39518e-05,6.39518e-05,6.39518e-05
36,4091.61,0.61985,0.37665,0.80676,0.50986,0.31769,0.3126,0.16382,1.4325,0.92843,1.05993,4.76796e-05,4.76796e-05,4.76796e-05
37,4205.04,0.60937,0.37309,0.80555,0.50935,0.31231,0.30872,0.16188,1.43401,0.93235,1.06144,3.4227e-05,3.4227e-05,3.4227e-05
38,4318.49,0.60316,0.3708,0.80498,0.5307,0.30549,0.30907,0.16146,1.43424,0.93381,1.06296,2.36769e-05,2.36769e-05,2.36769e-05
39,4431.93,0.59803,0.36886,0.80431,0.52556,0.30839,0.30781,0.16059,1.43545,0.93712,1.06346,1.60943e-05,1.60943e-05,1.60943e-05
40,4545.38,0.59378,0.36783,0.80395,0.53094,0.30575,0.30819,0.16077,1.4359,0.93883,1.06409,1.15259e-05,1.15259e-05,1.15259e-05
