epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,128.674,1.45833,1.59575,1.03968,0.51105,0.31726,0.30867,0.17533,1.40559,1.05726,1.01162,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268
2,254.331,1.43551,1.04246,1.01749,0.43502,0.309,0.30149,0.17586,1.34813,1.02775,0.99614,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348
3,377.658,1.46616,1.03117,1.02895,0.39218,0.26527,0.23979,0.12643,1.48872,1.07567,1.05462,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411
4,500.754,1.48025,1.02618,1.04152,0.43212,0.28781,0.26793,0.14742,1.43594,1.02524,1.03653,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,623.537,1.43923,0.96684,1.03028,0.44259,0.30646,0.28209,0.15016,1.42998,0.97202,1.02788,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,746.35,1.41082,0.93622,1.02156,0.43759,0.34169,0.3268,0.18278,1.36703,0.88612,1.00741,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,869.11,1.38759,0.9059,1.00985,0.41795,0.31693,0.31444,0.17275,1.3697,0.90533,1.00416,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,991.854,1.37019,0.88771,1.00403,0.487,0.34357,0.34428,0.19658,1.32533,0.85017,0.9867,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,1114.34,1.35366,0.87341,0.99878,0.49703,0.32092,0.34868,0.19797,1.31608,0.84923,0.98747,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,1237.02,1.34829,0.86035,0.99637,0.46753,0.36216,0.36704,0.20837,1.30274,0.83135,0.98726,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
11,1359.47,1.33499,0.8497,0.99171,0.51086,0.35338,0.36931,0.20666,1.30211,0.82455,0.9794,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
12,1482.12,1.33153,0.84312,0.98896,0.48466,0.35437,0.36445,0.20763,1.29612,0.82503,0.97913,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
13,1604.57,1.3242,0.83332,0.98437,0.51731,0.37267,0.38599,0.21858,1.29684,0.79682,0.97821,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
