epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,126.832,1.49631,1.6599,1.05894,0.47096,0.27407,0.27767,0.15854,1.41572,1.10232,1.01158,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268
2,251.18,1.4664,1.0835,1.03284,0.48719,0.30357,0.3129,0.17841,1.39522,1.01679,1.0033,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348
3,373.464,1.5003,1.07506,1.04541,0.38589,0.25365,0.22237,0.11959,1.5085,1.15462,1.06776,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411
4,496.049,1.5167,1.06821,1.05743,0.41988,0.26948,0.25447,0.13596,1.46656,1.0739,1.05464,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,618.245,1.47511,1.00848,1.04463,0.45472,0.29655,0.2799,0.151,1.39486,0.93745,1.01394,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,740.412,1.44218,0.97472,1.03521,0.46131,0.31523,0.30745,0.17049,1.3784,0.90834,1.01473,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,862.601,1.41975,0.94528,1.02414,0.4748,0.32171,0.32597,0.18254,1.35009,0.88188,0.99677,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,984.622,1.40214,0.92611,1.01771,0.49169,0.33495,0.34722,0.1945,1.33746,0.85469,0.99074,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,1106.66,1.38596,0.90924,1.01218,0.47072,0.3372,0.34433,0.19275,1.32939,0.8462,0.98677,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,1229.05,1.37924,0.8952,1.00832,0.48853,0.3251,0.33894,0.1913,1.31281,0.84193,0.98577,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
11,1351.21,1.36448,0.88312,1.00268,0.51926,0.33696,0.34851,0.19609,1.32214,0.84489,0.99031,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
12,1473.4,1.36295,0.8763,1.00048,0.48771,0.34393,0.356,0.20093,1.29954,0.81528,0.97928,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
13,1595.56,1.35295,0.86634,0.99585,0.50289,0.38047,0.38235,0.21618,1.29846,0.81112,0.97726,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
14,1717.68,1.34787,0.8626,0.99526,0.53973,0.35716,0.38184,0.21653,1.29054,0.80043,0.97668,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
15,1839.66,1.34338,0.84816,0.99016,0.51257,0.38136,0.39026,0.22099,1.28297,0.78564,0.96949,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
16,1961.73,1.33726,0.84642,0.98855,0.55643,0.36185,0.38939,0.2225,1.27692,0.78384,0.96764,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
17,2083.65,1.32571,0.83449,0.98537,0.53585,0.37043,0.38679,0.22525,1.27616,0.77645,0.96767,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
18,2205.76,1.32546,0.83135,0.98337,0.54913,0.38409,0.40271,0.23142,1.26217,0.77926,0.96546,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
19,2327.65,1.31587,0.82857,0.98079,0.55426,0.38762,0.41045,0.2344,1.26247,0.76648,0.96241,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
20,2449.61,1.32046,0.8216,0.98052,0.54472,0.36979,0.40022,0.23021,1.26515,0.77405,0.96253,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849
21,2571.39,1.31062,0.81629,0.97847,0.53201,0.38286,0.39997,0.23,1.26158,0.76061,0.95965,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
22,2693.35,1.30251,0.80989,0.97684,0.58186,0.38734,0.41559,0.23753,1.25521,0.75971,0.95794,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006
23,2815.26,1.3056,0.81166,0.97449,0.55781,0.39206,0.41256,0.23691,1.25133,0.76607,0.95939,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
24,2937.16,1.29925,0.80333,0.97357,0.59495,0.36912,0.41696,0.23774,1.25148,0.75285,0.95453,0.0243435,0.00811452,0.0243435,0.00811452,0.0243435,0.00811452,0.0243435,0.00811452
25,3058.97,1.29572,0.80037,0.97194,0.60424,0.37646,0.42148,0.24003,1.24168,0.74907,0.95496,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
26,3180.72,1.29525,0.79637,0.97039,0.53062,0.40902,0.42509,0.24323,1.24253,0.73966,0.95495,0.0234002,0.00780007,0.0234002,0.00780007,0.0234002,0.00780007,0.0234002,0.00780007
27,3302.57,1.29463,0.79361,0.9714,0.55587,0.40181,0.42579,0.24523,1.2411,0.74595,0.95422,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
28,3424.44,1.28017,0.78466,0.96723,0.59123,0.40259,0.43963,0.25195,1.23548,0.73281,0.94964,0.022406,0.00746868,0.022406,0.00746868,0.022406,0.00746868,0.022406,0.00746868
29,3546.15,1.28446,0.78357,0.96682,0.5968,0.39691,0.43073,0.24839,1.23186,0.73362,0.94856,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
30,3668,1.2824,0.78204,0.96667,0.59889,0.39929,0.4426,0.25383,1.22968,0.7282,0.94837,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237
31,3789.98,1.27473,0.77537,0.96351,0.60103,0.40251,0.44405,0.25731,1.22649,0.72398,0.94556,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
32,3911.93,1.27805,0.77391,0.96226,0.59322,0.4087,0.44379,0.25635,1.22691,0.72118,0.94603,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328
33,4033.73,1.2692,0.77121,0.96076,0.58045,0.41541,0.45129,0.26006,1.22209,0.71927,0.94455,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
34,4155.57,1.2729,0.76978,0.96051,0.58006,0.40625,0.44538,0.25756,1.22071,0.71834,0.94331,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363
35,4277.49,1.25821,0.76115,0.9589,0.61072,0.39859,0.45107,0.2618,1.21794,0.71594,0.94241,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
36,4399.3,1.2571,0.76015,0.95679,0.60033,0.39991,0.44896,0.25872,1.22111,0.71426,0.94309,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157
37,4521.34,1.2627,0.76063,0.95859,0.61535,0.40365,0.45154,0.26398,1.21533,0.7096,0.94252,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
38,4643.33,1.2595,0.75456,0.95617,0.60254,0.4052,0.44982,0.26402,1.214,0.70753,0.94056,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181
39,4765.08,1.25108,0.74963,0.95413,0.64074,0.40666,0.45772,0.26389,1.21379,0.70901,0.93971,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
40,4887.07,1.25297,0.74964,0.95373,0.61572,0.41508,0.46049,0.26678,1.21096,0.70305,0.93885,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434
41,5009.07,1.24838,0.74475,0.95003,0.60705,0.42225,0.46066,0.26673,1.21136,0.70188,0.9383,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,5131.19,1.25244,0.74536,0.95136,0.61481,0.41459,0.45746,0.26566,1.20726,0.70112,0.93688,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566
43,5253.14,1.24801,0.74086,0.95138,0.63308,0.4142,0.4718,0.2733,1.2066,0.69963,0.93583,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
44,5375,1.24001,0.73409,0.94786,0.63884,0.41006,0.46959,0.27278,1.20294,0.69426,0.93513,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819
45,5497.06,1.24061,0.73282,0.948,0.6577,0.40611,0.47022,0.27296,1.20337,0.69302,0.93514,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
46,5619.22,1.23535,0.72739,0.94645,0.61183,0.42641,0.47245,0.27239,1.2033,0.69367,0.93566,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843
47,5740.99,1.23331,0.72752,0.94602,0.61459,0.4238,0.46563,0.27179,1.20455,0.69236,0.93432,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
48,5862.87,1.23502,0.72632,0.94739,0.60358,0.42761,0.47069,0.27243,1.20094,0.69037,0.93422,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637
49,5984.9,1.22725,0.72001,0.94332,0.62504,0.41889,0.46706,0.27395,1.20282,0.69036,0.93465,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
50,6106.91,1.22942,0.71747,0.94301,0.61423,0.42933,0.47143,0.27457,1.20156,0.68765,0.93354,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672
51,6228.82,1.22299,0.71361,0.94141,0.61367,0.42762,0.47147,0.27607,1.19933,0.68635,0.93288,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
52,6350.88,1.22378,0.71153,0.9408,0.6234,0.43692,0.47965,0.2782,1.19739,0.68447,0.9331,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763
53,6472.74,1.22462,0.71086,0.94032,0.62995,0.43255,0.47668,0.27685,1.19718,0.68359,0.93346,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
54,6594.53,1.21708,0.70649,0.94148,0.62845,0.43602,0.47777,0.27711,1.19738,0.68193,0.93416,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132
55,6716.6,1.21222,0.70026,0.9374,0.62751,0.42892,0.47889,0.27928,1.19785,0.68158,0.93349,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
56,6838.67,1.21274,0.70008,0.93761,0.6378,0.41895,0.47539,0.27807,1.19557,0.68217,0.9325,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993
57,6960.66,1.21477,0.69921,0.93832,0.63452,0.42844,0.47635,0.27749,1.19594,0.68099,0.93224,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
58,7082.92,1.20424,0.69173,0.93706,0.6182,0.43566,0.47744,0.27722,1.19599,0.67991,0.93192,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548
59,7205.14,1.2074,0.69035,0.93477,0.62359,0.43585,0.47841,0.27719,1.19409,0.67912,0.9311,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
60,7327.45,1.20282,0.68753,0.93281,0.61705,0.43338,0.47841,0.27967,1.19282,0.67827,0.93061,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994
61,7449.53,1.19741,0.68647,0.93427,0.62048,0.43296,0.47662,0.27781,1.19342,0.67932,0.9308,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
62,7571.76,1.20355,0.68653,0.93232,0.63851,0.42318,0.47976,0.27934,1.19357,0.67884,0.93089,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151
63,7694.12,1.19819,0.68424,0.93401,0.63439,0.43351,0.48123,0.27957,1.19282,0.67839,0.93029,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
64,7816.3,1.19642,0.68297,0.93323,0.59073,0.45199,0.47987,0.27996,1.19314,0.6775,0.9306,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268
65,7938.44,1.19161,0.67624,0.93267,0.60524,0.44733,0.48151,0.27914,1.19256,0.67732,0.93105,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
66,8060.64,1.19106,0.67516,0.93077,0.6181,0.43672,0.48118,0.27793,1.19227,0.67727,0.93061,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225
67,8182.63,1.19121,0.67512,0.93091,0.61328,0.4429,0.47993,0.27765,1.19231,0.67771,0.93053,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
68,8304.89,1.18929,0.67266,0.93098,0.61854,0.4417,0.47953,0.2772,1.19376,0.67845,0.93087,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145
69,8427.16,1.18752,0.67031,0.92725,0.62132,0.43611,0.47922,0.27644,1.19336,0.67806,0.93017,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
70,8549.17,1.18229,0.66869,0.93015,0.61658,0.43569,0.47821,0.27627,1.19367,0.67818,0.9298,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691
71,8667.08,1.20607,0.65741,0.93364,0.6276,0.42753,0.47572,0.27407,1.19621,0.68013,0.93109,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
72,8784.34,1.19912,0.6506,0.92926,0.62998,0.42827,0.47504,0.27346,1.19754,0.68111,0.93127,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953
73,8901.52,1.19597,0.64638,0.92879,0.63608,0.42626,0.47317,0.27382,1.1981,0.68133,0.93137,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
74,9018.79,1.19164,0.64295,0.92671,0.62892,0.42704,0.47375,0.27301,1.19831,0.68175,0.93137,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847
75,9135.91,1.19196,0.64243,0.92747,0.62783,0.42498,0.47236,0.27309,1.19852,0.6819,0.9315,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
76,9253.17,1.19098,0.64188,0.92765,0.63313,0.42685,0.47215,0.27311,1.19848,0.68194,0.93146,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113
77,9370.33,1.18745,0.63674,0.92545,0.63966,0.42463,0.47139,0.27347,1.19806,0.68148,0.93115,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
78,9487.54,1.18639,0.63837,0.92623,0.64285,0.42398,0.47221,0.27395,1.19834,0.68122,0.93123,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311
79,9604.6,1.18945,0.64016,0.92639,0.6403,0.42462,0.47197,0.27372,1.19838,0.6812,0.93123,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
80,9721.8,1.18773,0.63572,0.92535,0.64338,0.42342,0.47144,0.27338,1.19846,0.68138,0.93134,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816
