epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8445,1.66324,3.30706,1.05998,0.24344,0.09194,0.03543,0.02064,1.57172,4.10785,1.02177,0.000326797,0.000326797,0.000326797
2,40.1762,1.56348,1.98011,1.02893,0.12883,0.29521,0.14262,0.07315,1.72358,2.98849,1.08424,0.000659123,0.000659123,0.000659123
3,59.0808,1.47729,1.64841,1.00601,0.4591,0.19929,0.17834,0.08808,1.70933,1.8517,1.11188,0.00098741,0.00098741,0.00098741
4,78.3129,1.41138,1.43489,0.98353,0.35749,0.20423,0.20063,0.10364,1.6396,1.53099,1.06048,0.000986323,0.000986323,0.000986323
5,97.6306,1.34258,1.25738,0.96078,0.38381,0.20853,0.20381,0.11018,1.63824,1.45234,1.08958,0.000975773,0.000975773,0.000975773
6,116.757,1.28011,1.12111,0.93625,0.45481,0.22193,0.23645,0.11972,1.61685,1.37363,1.07358,0.00096232,0.00096232,0.00096232
7,135.676,1.20359,1.00737,0.91452,0.45421,0.25812,0.25039,0.12754,1.61826,1.30278,1.07526,0.000946048,0.000946048,0.000946048
8,154.726,1.17679,0.9443,0.90169,0.38561,0.22509,0.22069,0.11018,1.65256,1.34614,1.08094,0.000927057,0.000927057,0.000927057
9,173.639,1.09345,0.8457,0.88058,0.37296,0.23414,0.22323,0.12123,1.60532,1.27032,1.07603,0.000905463,0.000905463,0.000905463
10,193.023,1.0605,0.81464,0.87141,0.37912,0.24909,0.23187,0.1187,1.61221,1.2747,1.0756,0.000881401,0.000881401,0.000881401
11,212.307,1.00482,0.75971,0.86017,0.43792,0.26003,0.23709,0.12426,1.58952,1.26024,1.06829,0.000855018,0.000855018,0.000855018
12,231.344,0.96513,0.71611,0.84996,0.39288,0.28054,0.27074,0.14376,1.5765,1.24996,1.0697,0.000826477,0.000826477,0.000826477
13,250.986,0.94471,0.68865,0.84355,0.38698,0.26648,0.25285,0.13073,1.57418,1.25613,1.06424,0.000795954,0.000795954,0.000795954
14,269.902,0.89752,0.64594,0.83428,0.44425,0.27257,0.26212,0.13148,1.56596,1.23504,1.06759,0.000763637,0.000763637,0.000763637
15,288.934,0.85159,0.61239,0.82542,0.38059,0.2901,0.26222,0.13343,1.56175,1.2365,1.07881,0.000729725,0.000729725,0.000729725
16,307.96,0.81096,0.58117,0.82038,0.4669,0.23532,0.24293,0.12454,1.57489,1.25208,1.08211,0.000694428,0.000694428,0.000694428
17,326.895,0.78405,0.55513,0.81414,0.35855,0.28002,0.24513,0.12787,1.56004,1.254,1.0729,0.000657963,0.000657963,0.000657963
18,345.739,0.75815,0.53357,0.81068,0.43799,0.2649,0.25511,0.1379,1.57984,1.27967,1.07399,0.000620555,0.000620555,0.000620555
19,364.659,0.71886,0.50561,0.80329,0.40038,0.26969,0.25714,0.13657,1.54628,1.19983,1.07941,0.000582435,0.000582435,0.000582435
20,383.355,0.67926,0.47935,0.79877,0.43627,0.24491,0.24458,0.12642,1.56245,1.31666,1.08285,0.000543837,0.000543837,0.000543837
21,402.183,0.64816,0.46262,0.79449,0.35289,0.28198,0.2468,0.13189,1.55225,1.25638,1.08223,0.000505,0.000505,0.000505
22,420.909,0.62506,0.44211,0.79102,0.36976,0.26638,0.24456,0.12898,1.54468,1.28064,1.0815,0.000466163,0.000466163,0.000466163
23,439.708,0.59151,0.42119,0.7868,0.46086,0.2583,0.24829,0.1316,1.56469,1.34528,1.07758,0.000427565,0.000427565,0.000427565
