epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1284,1.69412,3.39101,1.0604,0.27801,0.06502,0.02053,0.01443,1.58622,4.10013,1.02199,0.000326667,0.000326667,0.000326667
2,55.8782,1.59617,2.04017,1.03117,0.0937,0.26348,0.13973,0.08036,1.67493,2.77516,1.08624,0.000658993,0.000658993,0.000658993
3,81.3242,1.48751,1.68656,1,0.2836,0.15213,0.13117,0.06893,1.75563,2.48507,1.12107,0.00098728,0.00098728,0.00098728
4,100.303,1.43631,1.47413,0.98887,0.32347,0.1646,0.16363,0.08922,1.66725,1.68743,1.1141,0.000986323,0.000986323,0.000986323
5,118.827,1.36457,1.29231,0.96111,0.2747,0.21642,0.18121,0.09238,1.65803,1.61941,1.11601,0.000975773,0.000975773,0.000975773
6,137.567,1.30517,1.16167,0.94012,0.2563,0.23916,0.19372,0.09949,1.61993,1.36624,1.08998,0.00096232,0.00096232,0.00096232
7,156.115,1.23694,1.038,0.91884,0.50636,0.19685,0.21265,0.1118,1.611,1.35431,1.08047,0.000946048,0.000946048,0.000946048
8,174.983,1.1723,0.9566,0.89891,0.31704,0.21348,0.19871,0.10629,1.62211,1.3997,1.09899,0.000927057,0.000927057,0.000927057
9,193.861,1.13139,0.88753,0.88785,0.36544,0.24019,0.20073,0.1066,1.61519,1.31375,1.09186,0.000905463,0.000905463,0.000905463
10,212.698,1.07344,0.82045,0.87237,0.31195,0.21063,0.20271,0.10871,1.5878,1.32491,1.07557,0.000881401,0.000881401,0.000881401
11,231.765,1.01386,0.76914,0.85876,0.34762,0.22681,0.20402,0.10598,1.57544,1.29504,1.08597,0.000855018,0.000855018,0.000855018
12,250.518,0.98025,0.72975,0.84992,0.3357,0.23387,0.20088,0.10231,1.58983,1.28932,1.09342,0.000826477,0.000826477,0.000826477
13,269.084,0.94254,0.68972,0.84072,0.39623,0.19725,0.19023,0.10049,1.57535,1.35554,1.07168,0.000795954,0.000795954,0.000795954
14,287.8,0.90352,0.65406,0.83241,0.33136,0.22431,0.18913,0.09855,1.60515,1.28407,1.08864,0.000763637,0.000763637,0.000763637
15,306.54,0.86355,0.62143,0.82502,0.33358,0.21784,0.18931,0.0972,1.59772,1.33586,1.09442,0.000729725,0.000729725,0.000729725
16,325.573,0.82704,0.58999,0.8191,0.37594,0.2144,0.20229,0.10605,1.57897,1.31882,1.07829,0.000694428,0.000694428,0.000694428
17,344.462,0.78567,0.56025,0.81123,0.34444,0.2357,0.2045,0.10736,1.56504,1.23616,1.09016,0.000657963,0.000657963,0.000657963
18,363.156,0.75395,0.53337,0.80606,0.41552,0.19799,0.19852,0.10576,1.55323,1.3415,1.08526,0.000620555,0.000620555,0.000620555
19,382.108,0.70621,0.50427,0.80062,0.33948,0.22865,0.21536,0.11623,1.54007,1.32926,1.08655,0.000582435,0.000582435,0.000582435
20,401.478,0.69184,0.48421,0.79749,0.32843,0.23834,0.20796,0.10855,1.56855,1.31621,1.09319,0.000543837,0.000543837,0.000543837
21,420.258,0.65242,0.46286,0.79181,0.41416,0.20585,0.21362,0.11268,1.53673,1.28683,1.09128,0.000505,0.000505,0.000505
22,438.979,0.61733,0.43963,0.78813,0.35365,0.21796,0.21025,0.1131,1.56086,1.35289,1.08586,0.000466163,0.000466163,0.000466163
23,457.719,0.594,0.42397,0.78486,0.36066,0.23476,0.21131,0.11217,1.53745,1.33853,1.08513,0.000427565,0.000427565,0.000427565
24,476.829,0.55686,0.40265,0.78111,0.38046,0.22011,0.21549,0.11315,1.54561,1.35489,1.08871,0.000389445,0.000389445,0.000389445
25,495.672,0.52825,0.38333,0.77851,0.42376,0.20176,0.2113,0.11325,1.53019,1.31971,1.09462,0.000352037,0.000352037,0.000352037
26,514.297,0.51205,0.37196,0.77696,0.33843,0.22881,0.20775,0.10858,1.54434,1.33417,1.09599,0.000315572,0.000315572,0.000315572
27,533.362,0.48591,0.35429,0.77503,0.32465,0.23439,0.20366,0.10875,1.53577,1.3614,1.10041,0.000280275,0.000280275,0.000280275
28,552.288,0.46179,0.33976,0.7723,0.36035,0.21978,0.19585,0.10388,1.53906,1.35932,1.09405,0.000246363,0.000246363,0.000246363
