epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0081,1.74517,3.14989,1.07392,0.4466,0.08953,0.03804,0.02248,1.67678,4.09941,1.07272,0.000326797,0.000326797,0.000326797
2,41.8565,1.6929,1.88669,1.05375,0.61435,0.10722,0.16116,0.08355,1.71697,2.61951,1.1007,0.000659879,0.000659879,0.000659879
3,61.0386,1.6704,1.65596,1.04669,0.67166,0.10852,0.14478,0.0732,1.82367,2.15995,1.16189,0.000991948,0.000991948,0.000991948
4,80.493,1.66293,1.54729,1.05594,0.30874,0.17328,0.16983,0.089,1.75712,1.68532,1.12347,0.000996569,0.000996569,0.000996569
5,99.7688,1.64842,1.44548,1.044,0.3222,0.24918,0.2232,0.11454,1.6476,1.44998,1.06873,0.000993906,0.000993906,0.000993906
6,119.257,1.62219,1.35627,1.03833,0.34773,0.21974,0.19231,0.09857,1.64276,1.48651,1.07139,0.000990489,0.000990489,0.000990489
7,138.838,1.61182,1.32667,1.0313,0.46958,0.21341,0.2256,0.12076,1.60482,1.35039,1.07793,0.000986323,0.000986323,0.000986323
8,158.441,1.5567,1.27085,1.03079,0.45206,0.23993,0.24823,0.13235,1.55186,1.29439,1.06806,0.000981415,0.000981415,0.000981415
9,177.881,1.54994,1.23166,1.01468,0.52071,0.21933,0.24657,0.13052,1.58513,1.33339,1.05214,0.000975773,0.000975773,0.000975773
10,197.574,1.55732,1.22316,1.01966,0.42733,0.23413,0.24259,0.13224,1.55655,1.23908,1.05659,0.000969405,0.000969405,0.000969405
11,217.032,1.55586,1.18371,1.0162,0.4374,0.26443,0.28128,0.14738,1.54981,1.17061,1.03296,0.00096232,0.00096232,0.00096232
12,236.325,1.49524,1.13614,0.99996,0.52149,0.26152,0.2849,0.15156,1.56933,1.20491,1.04561,0.000954531,0.000954531,0.000954531
13,255.703,1.51872,1.1376,0.99345,0.45458,0.27979,0.28412,0.15586,1.53636,1.18554,1.03059,0.000946048,0.000946048,0.000946048
