experiment,eval,weather,class,mAP50,mAP50_std,mAP50_n,mAP50-95,mAP50-95_std,mAP50-95_n,precision,precision_std,precision_n,recall,recall_std,recall_n
S0_acdc,5fold,overall,person,0.2211,0.0202,5,0.0945,0.0137,5,0.5985,0.0544,5,0.1866,0.0311,5
S0_acdc,5fold,overall,rider,0.0957,0.0469,5,0.0391,0.021,5,0.2963,0.1605,5,0.1212,0.0367,5
S0_acdc,5fold,overall,car,0.5774,0.0091,5,0.3283,0.0116,5,0.6426,0.0754,5,0.548,0.0245,5
S0_acdc,5fold,overall,truck,0.1938,0.0569,5,0.1126,0.0371,5,0.2995,0.0567,5,0.2804,0.0307,5
S0_acdc,5fold,overall,bus,0.1117,0.0637,5,0.0662,0.0416,5,0.1549,0.0504,5,0.1568,0.068,5
S0_acdc,5fold,overall,bicycle,0.0767,0.018,5,0.0343,0.0106,5,0.2305,0.0724,5,0.0874,0.0209,5
S0_acdc,5fold,fog,person,0.293,0.112,5,0.1384,0.0459,5,0.6777,0.1027,5,0.2444,0.1358,5
S0_acdc,5fold,fog,rider,0.2696,0.1716,5,0.1411,0.0952,5,0.41,0.2604,5,0.2379,0.1454,5
S0_acdc,5fold,fog,car,0.6525,0.0238,5,0.3797,0.014,5,0.7412,0.1341,5,0.5864,0.0542,5
S0_acdc,5fold,fog,truck,0.3048,0.0653,5,0.1667,0.0431,5,0.5201,0.0822,5,0.2569,0.0723,5
S0_acdc,5fold,fog,bus,0.4956,0.2709,5,0.3741,0.2229,5,0.321,0.2496,5,0.6356,0.2742,5
S0_acdc,5fold,fog,bicycle,0.2242,0.0376,5,0.1103,0.0286,5,0.5819,0.3256,5,0.2136,0.0511,5
S0_acdc,5fold,night,person,0.1744,0.0566,5,0.068,0.0252,5,0.552,0.1466,5,0.1559,0.0322,5
S0_acdc,5fold,night,rider,0.1048,0.06,5,0.0373,0.0321,5,0.4618,0.124,5,0.0878,0.045,5
S0_acdc,5fold,night,car,0.4017,0.0228,5,0.2185,0.0179,5,0.4573,0.1111,5,0.4171,0.0238,5
S0_acdc,5fold,night,truck,0.0419,0.025,5,0.0153,0.0114,5,0.0842,0.0558,5,0.2333,0.1369,5
S0_acdc,5fold,night,bus,0.0338,0.0322,5,0.0067,0.0035,5,0.0768,0.0533,5,0.0897,0.0565,5
S0_acdc,5fold,night,bicycle,0.0684,0.0239,5,0.0316,0.0147,5,0.2631,0.098,5,0.0598,0.0232,5
S0_acdc,5fold,rain,person,0.1557,0.0662,5,0.0617,0.0285,5,0.492,0.1812,5,0.1218,0.0502,5
S0_acdc,5fold,rain,rider,0.1909,0.1744,5,0.0538,0.0583,5,0.2257,0.2065,5,0.2267,0.2204,5
S0_acdc,5fold,rain,car,0.6025,0.0254,5,0.3335,0.0154,5,0.681,0.1168,5,0.564,0.0547,5
S0_acdc,5fold,rain,truck,0.1871,0.0871,5,0.122,0.0654,5,0.1232,0.0413,5,0.352,0.1776,5
S0_acdc,5fold,rain,bus,0.0975,0.0972,5,0.0571,0.0684,5,0.1165,0.1115,5,0.0848,0.1021,5
S0_acdc,5fold,rain,bicycle,0.0618,0.0393,5,0.031,0.0217,5,0.1726,0.119,5,0.078,0.0515,5
S0_acdc,5fold,snow,person,0.2943,0.0597,5,0.1377,0.0387,5,0.7354,0.1201,5,0.2223,0.0441,5
S0_acdc,5fold,snow,rider,0.129,0.1079,5,0.0666,0.0736,5,0.1297,0.1248,5,0.175,0.1118,5
S0_acdc,5fold,snow,car,0.6421,0.0092,5,0.3774,0.0181,5,0.7763,0.0459,5,0.5565,0.0347,5
S0_acdc,5fold,snow,truck,0.2014,0.1218,5,0.1269,0.0876,5,0.247,0.0594,5,0.2791,0.1179,5
S0_acdc,5fold,snow,bus,0.1351,0.1086,5,0.071,0.0591,5,0.2051,0.1558,5,0.1522,0.0987,5
