source,condition
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00054602-3bf57337.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00067cfb-5443fe39.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/000e0252-8523a4a9.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00207869-046fa443.jpg,snow
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/002d290d-89f4e5c0.jpg,snow
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/002d290d-90f2bab2.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/002d290d-f9108a13.jpg,rain
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00390995-49d9a01e.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/003baca5-ad660439.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/004071a4-4e8a363a.jpg,snow
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/004855fc-ff3946ad.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/0048f391-eae6a189.jpg,rain
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00495359-1d04dd8a.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/0049e5b8-725e21a0.jpg,snow
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/0049e5b8-afda7206.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/0052b279-87c692aa.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00618cec-ef92ac05.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/006a4209-4f3bf6cf.jpg,snow
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/006fdb67-f4820206.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/007693e6-bc55f0e4.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00779058-517a4591.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00787a90-b350f376.jpg,snow
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/007ae77f-79995643.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/007aeb45-9330e852.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/007da0eb-e1f588e8.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/0081c36b-30bff234.jpg,rain
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/0081e27b-17bf4a9e.jpg,snow
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/0090c713-9d58a186.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/009deddd-d68ff1f7.jpg,night
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00a2e3ca-62992459.jpg,snow
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00beeb02-50440dcd.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00beeb02-ba0790aa.jpg,rain
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00ccf2e8-ac055be6.jpg,fog
/home/ps/Desktop/major_project/data/yolo/bdd_src/images/00d79c0a-23bea078.jpg,snow
